[Id],[A][TNF_VS_Control],[M][TNF_VS_Control],[P][TNF_VS_Control],[As][TNF_VS_Control]
200720_s_at,10.1179301,-0.008702258,0.999941005,0
200721_s_at,10.5173395,0.060556447,0.999941005,0
200722_s_at,10.85693755,-0.173158766,0.903935291,0
200723_s_at,11.54556652,-0.098407105,0.940281691,0
200724_at,7.371522294,-0.094495628,0.999941005,0
200725_x_at,13.24125095,0.077574891,0.966978376,0
200726_at,11.39400881,-0.209680443,0.409922583,0
200727_s_at,10.8110605,0.176220289,0.999941005,0
200728_at,11.64504128,-0.051815483,0.999941005,0
200729_s_at,10.72678738,-0.019580976,0.999941005,0
200730_s_at,9.994021657,0.147612838,0.979447648,0
200731_s_at,9.013814551,0.177061775,0.741638651,0
200732_s_at,10.38975977,-0.04763589,0.999941005,0
200733_s_at,8.609653687,-0.032460404,0.999941005,0
200734_s_at,10.9685246,0.251953329,0.505204698,0
200735_x_at,12.8197165,-0.023433925,0.999941005,0
200736_s_at,11.87813417,0.134697411,0.738124287,0
200737_at,10.74024421,-0.038406063,0.999941005,0
200738_s_at,12.14774086,0.043171343,0.999941005,0
200739_s_at,9.820675958,-0.103057267,0.932150088,0
200740_s_at,11.97150344,-0.100447475,0.928957638,0
200741_s_at,12.77258452,-0.022093845,0.999941005,0
200742_s_at,10.12832317,0.108804779,0.999941005,0
200743_s_at,10.63996044,-0.012951465,0.999941005,0
200744_s_at,11.09668952,-0.052179143,0.999941005,0
200745_s_at,12.03760616,0.072154768,0.987212567,0
200746_s_at,12.18973469,0.041365387,0.999941005,0
200747_s_at,9.671333182,-0.249081481,0.49500169,0
200748_s_at,12.76789205,0.481020962,0.096077647,0
200749_at,11.04297838,0.07188018,0.999941005,0
200750_s_at,12.23741571,-0.024183691,0.999941005,0
200751_s_at,10.69612631,0.273874495,0.588577804,0
200752_s_at,8.878925432,0.104246546,0.962064341,0
200753_x_at,10.88098399,-0.110191316,0.881828937,0
200754_x_at,13.22185178,0.002069676,0.999941005,0
200755_s_at,11.26039434,-0.041681518,0.999941005,0
200756_x_at,10.48686891,-0.00920442,0.999941005,0
200757_s_at,11.49891041,0.028264197,0.999941005,0
200758_s_at,10.17713089,0.228589387,0.521121794,0
200759_x_at,10.770747,0.173858431,0.710870616,0
200760_s_at,10.55659848,-0.239638191,0.474664728,0
200761_s_at,10.55986492,-0.141931411,0.774929046,0
200762_at,11.72975311,0.241466489,0.490769015,0
200763_s_at,13.55097381,-0.019812944,0.999941005,0
200764_s_at,9.777099817,-0.13207476,0.798627867,0
200765_x_at,11.2500455,-0.048242827,0.999941005,0
200766_at,8.708814888,-0.004787392,0.999941005,0
200767_s_at,9.105448946,-0.204243035,0.774760751,0
200768_s_at,11.61344096,-0.008835661,0.999941005,0
200769_s_at,11.16972708,0.001760147,0.999941005,0
200770_s_at,9.846349766,0.193913565,0.773496361,0
200771_at,11.4948573,0.29446807,0.273834587,0
200772_x_at,12.64251221,-0.112871061,0.868826612,0
200773_x_at,12.54021338,-0.16020092,0.775944531,0
200774_at,11.35271431,-0.052480348,0.999941005,0
200775_s_at,12.29338568,-0.080517108,0.968311937,0
200776_s_at,11.28351653,0.12126715,0.861740096,0
200777_s_at,11.62152199,0.167370392,0.625000668,0
200778_s_at,11.45864954,-0.045040889,0.999941005,0
200779_at,11.7107787,0.089669578,0.940516472,0
200780_x_at,13.17980903,-0.139315939,0.753710541,0
200781_s_at,13.6632561,-0.045623876,0.999941005,0
200782_at,12.11062254,0.094633546,0.984042017,0
200783_s_at,10.80856043,-0.150369094,0.621722725,0
200784_s_at,7.223490938,-0.05869634,0.999941005,0
200785_s_at,8.282146669,0.05882766,0.999941005,0
200786_at,11.44189409,0.094343019,0.968311937,0
200787_s_at,10.65823025,0.187288921,0.95361049,0
200788_s_at,11.58467314,0.070526284,0.999941005,0
200789_at,9.401684935,-0.194790751,0.411916065,0
200790_at,12.38731146,0.126806757,0.785961312,0
200791_s_at,11.06273621,0.030775258,0.999941005,0
200792_at,12.44162379,-0.022250363,0.999941005,0
200793_s_at,10.30798873,-0.096968719,0.91807039,0
200794_x_at,11.64370933,-0.099680973,0.898999796,0
200795_at,5.495094908,-0.084560837,0.975283725,0
200796_s_at,8.827787656,0.289822412,0.975110142,0
200797_s_at,12.23450102,0.124740757,0.763963015,0
200798_x_at,10.96518896,0.342827095,0.436548637,0
200799_at,11.43141493,-0.089107754,0.962336635,0
200800_s_at,10.00850319,-0.148832305,0.942599344,0
200801_x_at,14.30771347,-0.02571197,0.999941005,0
200802_at,10.94241387,-0.065903214,0.987048115,0
200803_s_at,12.22904392,-0.012910282,0.999941005,0
200804_at,12.03232156,0.015168954,0.999941005,0
200805_at,9.403578076,-0.110919137,0.885756092,0
200806_s_at,12.26549626,0.016421565,0.999941005,0
200807_s_at,12.71152779,-0.037287682,0.999941005,0
200808_s_at,11.09804298,0.263216486,0.773600479,0
200809_x_at,13.26092418,-0.018763184,0.999941005,0
200810_s_at,10.92963714,-0.122402415,0.923264649,0
